,pl_name
0,OGLE-2016-BLG-1227L b
1,Kepler-276 c
2,Kepler-829 b
3,K2-283 b
4,Kepler-477 b
5,TOI-1260 c
6,HD 149143 b
7,HD 99492 b
8,nu Oph c
9,75 Cet b
10,gam Lib b
11,HIP 12961 b
12,HD 11755 b
13,HD 29985 b
14,HD 115954 b
15,HIP 97233 b
16,HD 95872 b
17,OGLE-2015-BLG-0966L b
18,WASP-49 b
19,WASP-56 b
20,WASP-47 c
21,TOI-1470 b
22,V1298 Tau b
23,HD 22946 d
24,HAT-P-23 b
25,tau Cet e
26,K2-254 c
27,EPIC 220554210 c
28,NSVS 14256825 b
29,Kepler-1390 b
30,Kepler-393 c
31,Kepler-263 c
32,Kepler-1431 b
33,Kepler-237 c
34,Kepler-1510 b
35,Kepler-169 e
36,Kepler-145 c
37,Kepler-219 c
38,Kepler-910 b
39,Kepler-1037 b
40,Kepler-992 b
41,Kepler-113 b
42,Kepler-1097 b
43,Kepler-382 b
44,Kepler-1310 b
45,42 Dra b
46,61 Vir c
47,Kepler-57 b
48,70 Vir b
49,Kepler-255 c
50,K2-111 c
51,Kepler-107 d
52,LP 791-18 d
53,KMT-2016-BLG-2605L b
54,Kepler-52 c
55,Kepler-248 b
56,24 Sex b
57,24 Sex c
58,TOI-1937 A b
59,K2-174 b
60,K2-216 b
61,DENIS-P J082303.1-491201 b
62,HIP 63242 b
63,GJ 504 b
64,2MASS J01225093-2439505 b
65,RR Cae b
66,HAT-P-68 b
67,2MASS J19383260+4603591 b
68,HAT-P-70 b
69,WASP-169 b
70,Kepler-25 b
71,Kepler-10 d
72,Kepler-20 e
73,Kepler-32 f
74,K2-317 b
75,HD 188641 b
76,Kepler-102 b
77,TOI-2000 b
78,Kepler-20 d
79,TOI-2096 c
80,TOI-3807 b
81,Kepler-423 b
82,Kepler-411 d
83,TOI-1075 b
84,HATS-15 b
85,GJ 3341 b
86,GJ 581 b
87,G 264-012 b
88,EPIC 201833600 c
89,EPIC 249893012 b
90,EPIC 249893012 c
91,GJ 3293 d
92,GJ 3998 c
93,BD-08 2823 b
94,BD-10 3166 b
95,GJ 720 A b
96,BD-13 2130 b
97,HD 215152 d
98,AB Pic b
99,CoRoT-7 d
100,K2-319 b
101,K2-323 b
102,KMT-2021-BLG-1105L b
103,HAT-P-37 b
104,KELT-12 b
105,OGLE2-TR-L9 b
106,GJ 229 b
107,HD 105618 c
108,TOI-2641 b
109,WASP-107 b
110,WASP-101 b
111,HD 5608 b
112,TRAPPIST-1 h
113,HD 189733 b
114,WASP-104 b
115,WASP-19 b
116,K2-318 b
117,Kepler-1491 c
118,Kepler-1979 b
119,WASP-6 b
120,TOI-150.01
121,CFBDSIR J145829+101343 b
122,CoRoT-14 b
123,EPIC 206024342 b
124,EPIC 201427007 b
125,EPIC 206215704 b
126,EPIC 212297394 b
127,EPIC 212499991 b
128,EPIC 212737443 c
129,GJ 180 c
130,HD 136118 b
131,HD 153557 b
132,HD 155918 b
133,HD 156098 b
134,GJ 3138 d
135,HD 134060 c
136,K2-98 b
137,GJ 433 b
138,GJ 433 d
139,CoRoT-30 b
140,OGLE-2018-BLG-0532L b
141,OGLE-2018-BLG-0383L b
142,KMT-2021-BLG-0322L b
143,HATS-12 b
144,HD 10180 d
145,HD 102272 b
146,HD 42618 b
147,OGLE-2018-BLG-0962L b
148,HD 110014 b
149,HD 131496 b
150,BD-17 63 b
151,TOI-1842 b
152,EPIC 201754305 d
153,EPIC 201841433 b
154,HD 37605 b
155,HD 40307 d
156,HD 75289 b
157,HD 73526 c
158,HD 46375 b
159,HD 7924 c
160,G 264-012 c
161,HD 23127 b
162,HD 233832 b
163,HD 238090 b
164,HD 30856 b
165,HD 212301 b
166,HD 196050 b
167,HD 215497 c
168,HD 28254 b
169,HIP 29442 c
170,TOI-2202 c
171,K2-60 b
172,DMPP-3 A b
173,HATS-77 b
174,Kepler-167 c
175,HD 13808 b
176,HD 4208 b
177,Kepler-104 d
178,Kepler-20 f
179,Kepler-37 d
180,Kepler-62 b
181,TrES-1 b
182,nu Oct A b
183,HD 69830 b
184,HD 180053 b
185,WTS-2 b
186,WASP-92 b
187,TOI-1272 c
188,TOI-1288 c
189,Kepler-134 c
190,TOI-1669 b
191,TOI-3540 A b
192,HD 181342 b
193,HD 181433 b
194,HD 187123 c
195,K2-291 b
196,HD 125612 b
197,XO-1 b
198,WASP-46 b
199,K2-3 c
200,KELT-3 b
201,HD 205739 b
202,HD 20868 b
203,HD 211810 b
204,Kepler-165 c
205,Kepler-197 d
206,4 UMa b
207,HD 21411 b
208,HD 73526 b
209,HD 73534 b
210,GJ 411 b
211,GJ 687 b
212,GJ 887 b
213,HD 64114 b
214,HD 220842 b
215,HD 221585 b
216,HD 238914 b
217,HD 76920 b
218,HD 20781 b
219,HD 67087 c
220,HD 65216 c
221,HD 290327 b
222,HD 151450 b
223,HD 4313 b
224,HD 330075 b
225,HD 31253 b
226,HD 31527 b
227,HIP 65 A b
228,MASCARA-1 b
229,HD 206893 b
230,TOI-1338 c
231,KELT-8 b
232,WASP-153 b
233,HD 158259 f
234,TOI-3693 b
235,NGTS-24 b
236,LP 890-9 c
237,Kepler-134 b
238,TOI-1136 b
239,TOI-1136 g
240,K2-219 b
241,HD 40307 b
242,HATS-70 b
243,HAT-P-61 b
244,HD 158259 b
245,HAT-P-38 b
246,HD 12661 b
247,HD 4203 b
248,HATS-7 b
249,CoRoT-13 b
250,Kepler-37 e
251,Kepler-716 b
252,HD 122562 c
253,Kepler-773 b
254,HD 49674 b
255,30 Ari B b
256,HD 62509 b
257,HD 208527 b
258,HD 167768 b
259,Kepler-720 b
260,HD 158259 d
261,HD 207897 b
262,KELT-14 b
263,rho CrB d
264,HAT-P-30 b
265,TOI-3362 b
266,GJ 486 b
267,HAT-P-69 b
268,47 UMa c
269,K2-415 b
270,BD-11 4672 b
271,HATS-44 b
272,rho CrB b
273,GJ 328 b
274,HD 191939 d
275,2MASS J01033563-5515561 AB b
276,Kepler-167 d
277,HD 7199 b
278,KOI-55 c
279,HD 75898 b
280,HD 79498 b
281,Kepler-751 b
282,Kepler-1930 b
283,Kepler-1725 b
284,Kepler-1883 b
285,WASP-85 A b
286,WASP-95 b
287,Kepler-1887 b
288,Kepler-633 c
289,Kepler-1907 c
290,WASP-74 b
291,6 Lyn b
292,Kepler-782 b
293,HD 77338 b
294,GJ 3021 b
295,GJ 3634 b
296,GJ 674 b
297,HD 37605 c
298,GJ 876 e
299,HD 189567 b
300,HD 96700 c
301,GSC 06214-00210 b
302,HD 155918 c
303,HD 190647 b
304,BD+15 2940 b
305,Kepler-468 b
306,Kepler-495 b
307,Kepler-123 b
308,HD 200964 c
309,HATS-36 b
310,HD 17156 b
311,HD 206610 b
