,Planet Name,Discovery Year,Orbital Period (days),Planet Radius [Earth Radius],Planet Mass [Earth Mass],Planet Density,Equilibrium Temperature [K],Transit Duration [hours],Star luminosity
30,55 Cnc e,2004,0.7365474,1.875,7.99,6.66,1958.0,1.555016,-0.197
47,AU Mic b,2020,8.4629991,4.07,20.12,1.32,593.0,3.5738006,-0.99
48,AU Mic c,2021,18.858991,3.24,9.6,1.22,454.0,4.42,-0.99
83,CoRoT-1 b,2008,1.5089557,16.7,327.35,0.38,1898.0,2.373,0.298
84,CoRoT-10 b,2010,13.2406,10.87,874.0,3.7,600.0,2.98,-0.726
85,CoRoT-11 b,2010,2.99433,16.03,740.51,0.99,1657.0,2.5009,0.378
86,CoRoT-12 b,2010,2.828042,16.14,291.438,0.411,1442.0,2.57424,0.07
87,CoRoT-13 b,2010,4.03519,9.92,415.704,2.34,1700.0,3.14,0.073
88,CoRoT-14 b,2010,1.51214,12.22,2415.4,7.3,1952.0,1.662,0.119
90,CoRoT-17 b,2011,3.7681,11.43,772.29,2.82,1626.0,4.72001,0.134
91,CoRoT-18 b,2011,1.9000693,14.68,1102.82,2.2,1550.0,2.387,-0.17
92,CoRoT-19 b,2011,3.89713,14.46,352.78,0.71,2000.0,4.7,0.544
93,CoRoT-2 b,2008,1.7429935,16.432,1102.82,1.47,1521.0,2.26704,-0.131
94,CoRoT-20 b,2011,9.24285,9.416,1366.669,8.87,1024.0,2.2248,0.17
97,CoRoT-22 b,2014,9.75598,4.88,12.2,0.249,885.0,4.492,0.014
98,CoRoT-23 b,2011,3.6313,11.77,889.9,3.0,1660.0,3.888,0.087
99,CoRoT-24 b,2014,5.1134,3.7,5.7,0.9,1070.0,2.85,-0.601
100,CoRoT-24 c,2014,11.759,5.0,28.0,1.3,850.0,4.8,-0.601
101,CoRoT-25 b,2013,4.86069,12.11,85.81,0.15,1330.0,1.92,0.141
102,CoRoT-26 b,2013,4.20474,14.12,165.26,0.28,1600.0,5.47,0.451
103,CoRoT-27 b,2014,3.57532,11.287,3302.11,12.6,1500.0,2.77,-0.166
106,CoRoT-3 b,2008,4.2568,11.32,6883.91,26.4,1695.0,3.384,0.391
